Name,Host Count,VM Count,CPU Count,CPU Usage (MAX),Cluster Id
PHX-POC313,4,980,128,47.38 %,00061705-27a4-9d15-0000-00000001788a
PHX-POC315,3,101,120,83.59 %,00060c61-27ab-03e5-0000-000000010315
